World Rank,University Names,Location ,National Rank,Educational Rank,Employability Rank,Faculty Rank,Research Rank,Score
488Top 2.4%,Lehigh University,USA,133,110,62,-,789,74.4
489Top 2.4%,Antioch College,USA,134,10,-,-,-,74.4
490Top 2.4%,University of Tehran,Iran,2,452,-,-,463,74.4
491Top 2.4%,University of Texas Health Science Center at San Antonio,USA,135,-,-,-,464,74.4
492Top 2.4%,Southwest University,China,63,491,1477,-,465,74.4
493Top 2.5%,University of Strathclyde,United Kingdom,36,-,376,-,486,74.3
494Top 2.5%,Indian Institute of Science,India,2,329,884,-,473,74.3
495Top 2.5%,James Cook University,Australia,21,-,1222,-,466,74.3
496Top 2.5%,Novosibirsk State University,Russia,4,430,1512,-,468,74.3
497Top 2.5%,Nanjing Tech University,China,64,-,1482,-,467,74.3
498Top 2.5%,University of Stuttgart,Germany,33,127,370,-,535,74.3
499Top 2.5%,Southern Medical University,China,65,-,-,-,470,74.3
500Top 2.5%,Okayama University,Japan,14,349,742,-,480,74.3
501Top 2.5%,West Virginia University,USA,136,-,377,-,496,74.3
502Top 2.5%,Nanjing University of Information Science and Technology,China,66,-,-,-,471,74.2
503Top 2.5%,Federal University of Minas Gerais,Brazil,6,-,561,-,484,74.2
504Top 2.5%,University of Ferrara,Italy,22,-,-,-,475,74.2
505Top 2.5%,University of Hawaii at Manoa,USA,137,401,1310,-,478,74.2
506Top 2.5%,Technical University of Darmstadt,Germany,34,354,487,-,495,74.2
507Top 2.5%,University of Siena,Italy,23,-,1456,-,476,74.2
508Top 2.5%,Leibniz University Hannover,Germany,35,-,679,-,483,74.2
509Top 2.5%,University of Potsdam,Germany,36,-,-,-,477,74.2
510Top 2.5%,Moscow Institute of Physics and Technology,Russia,5,179,620,278,521,74.2
511Top 2.5%,University of Zaragoza,Spain,13,502,1131,-,481,74.2
512Top 2.5%,Baylor University,USA,138,-,433,-,503,74.1
513Top 2.5%,University of Tennessee Health Science Center,USA,139,-,-,-,485,74.1
514Top 2.6%,"China Medical University, Taiwan",Taiwan,5,-,-,-,487,74.1
515Top 2.6%,Jiangnan University,China,67,-,1483,-,488,74.1
516Top 2.6%,Rush University,USA,140,-,-,-,489,74.1
517Top 2.6%,Eötvös Loránd University,Hungary,1,224,-,238,564,74.1
518Top 2.6%,University of Rostock,Germany,37,440,-,-,491,74.1
519Top 2.6%,NOVA University of Lisbon,Portugal,4,-,-,-,490,74.1
520Top 2.6%,Cairo University,Egypt,1,-,1078,-,494,74.1
521Top 2.6%,Polytechnic University of Valencia,Spain,14,-,1405,-,492,74.1
522Top 2.6%,École normale supérieure de Lyon,France,25,409,-,275,518,74.0
523Top 2.6%,Mayo Clinic College of Medicine and Science,USA,141,-,-,-,493,74.0
524Top 2.6%,Technical University of Dortmund,Germany,38,-,-,-,497,74.0
525Top 2.6%,University of Tromsø – The Arctic University of Norway,Norway,4,-,1581,-,498,74.0
526Top 2.6%,University of Modena and Reggio Emilia,Italy,24,-,905,-,502,74.0
527Top 2.6%,University of South Australia,Australia,22,-,477,-,514,74.0
528Top 2.6%,University of Zagreb,Croatia,1,-,1421,-,500,74.0
529Top 2.6%,University of Tartu,Estonia,1,477,-,-,501,74.0
530Top 2.6%,Flinders University,Australia,23,487,-,-,504,74.0
531Top 2.6%,University of Colorado Denver,USA,142,-,-,-,505,74.0
532Top 2.6%,Polytechnic University of Madrid,Spain,15,514,574,-,512,73.9
533Top 2.6%,University of Hull,United Kingdom,37,170,337,137,731,73.9
534Top 2.7%,University College Cork,Ireland,3,-,649,-,510,73.9
535Top 2.7%,Georgia State University,USA,143,-,825,-,506,73.9
536Top 2.7%,Boston College,USA,144,-,112,-,621,73.9
537Top 2.7%,Rovira i Virgili University,Spain,16,-,1357,-,507,73.9
538Top 2.7%,Beijing Jiaotong University,China,68,-,1328,-,508,73.9
539Top 2.7%,Carleton University,Canada,20,-,1388,-,509,73.9
540Top 2.7%,University of Oviedo,Spain,17,-,924,-,511,73.9
541Top 2.7%,North China Electric Power University,China,69,-,315,-,534,73.9
542Top 2.7%,University of Verona,Italy,25,-,-,-,513,73.8
543Top 2.7%,University of Konstanz,Germany,39,-,1537,210,594,73.8
544Top 2.7%,Institut Agro,France,26,-,-,-,515,73.8
545Top 2.7%,Joint Institute for Nuclear Research,Russia,6,-,-,-,516,73.8
546Top 2.7%,Oklahoma State University,USA,145,-,483,-,524,73.8
547Top 2.7%,Ocean University of China,China,70,-,1473,-,519,73.8
548Top 2.7%,Mahidol University,Thailand,2,-,1653,-,520,73.8
549Top 2.7%,Scuola Normale Superiore di Pisa,Italy,26,101,-,245,639,73.8
550Top 2.7%,University of Bremen,Germany,40,-,-,-,522,73.8
551Top 2.7%,Qingdao University,China,71,-,-,-,523,73.8
552Top 2.7%,"Royal Holloway, University of London",United Kingdom,38,416,1107,223,600,73.7
553Top 2.7%,University of Arkansas - Fayetteville,USA,146,267,335,-,561,73.7
554Top 2.7%,Indian Institute of Technology Bombay,India,3,-,280,-,562,73.7
555Top 2.8%,Colorado School of Mines,USA,147,-,75,-,745,73.7
556Top 2.8%,Auburn University,USA,148,-,257,-,566,73.7
557Top 2.8%,University of Pretoria,South Africa,5,-,707,-,533,73.7
558Top 2.8%,Nanjing Normal University,China,72,-,982,-,527,73.7
559Top 2.8%,Bar-Ilan University,Israel,6,-,599,-,539,73.7
560Top 2.8%,Masaryk University,Czech Republic,2,-,-,-,526,73.7
561Top 2.8%,Hefei University of Technology,China,73,-,937,-,528,73.7
562Top 2.8%,University of Macau,China,74,-,628,-,541,73.7
563Top 2.8%,University of Canterbury,New Zealand,3,370,456,248,593,73.6
564Top 2.8%,Saint Petersburg University,Russia,7,165,422,-,576,73.6
565Top 2.8%,Nanchang University,China,75,-,1025,-,532,73.6
