World Rank,University Names,Location ,National Rank,Educational Rank,Employability Rank,Faculty Rank,Research Rank,Score
755Top 3.7%,University of Castilla–La Mancha,Spain,23,-,-,-,714,72.0
756Top 3.7%,Kumamoto University,Japan,23,-,768,-,719,72.0
757Top 3.7%,"University of Córdoba, Spain",Spain,24,-,-,-,715,72.0
758Top 3.7%,University of Arkansas for Medical Sciences,USA,176,-,-,-,718,72.0
759Top 3.7%,Panjab University,India,9,526,744,-,728,72.0
760Top 3.8%,University of Cyprus,Cyprus,1,-,-,-,720,72.0
761Top 3.8%,International School for Advanced Studies,Italy,38,-,-,-,722,72.0
762Top 3.8%,Kangwon National University,South Korea,24,-,1678,-,723,72.0
763Top 3.8%,Bangor University,United Kingdom,48,192,764,254,821,72.0
764Top 3.8%,Augusta University,USA,177,-,-,-,727,72.0
765Top 3.8%,Harbin Engineering University,China,117,-,-,-,729,72.0
766Top 3.8%,Federal University of Paraná,Brazil,11,-,1441,-,732,71.9
767Top 3.8%,University of Essex,United Kingdom,49,529,665,-,739,71.9
768Top 3.8%,Niigata University,Japan,24,-,830,-,736,71.9
769Top 3.8%,Örebro University,Sweden,12,-,996,-,735,71.9
770Top 3.8%,Tarbiat Modares University,Iran,6,-,-,-,733,71.9
771Top 3.8%,University of Crete,Greece,5,-,-,-,734,71.9
772Top 3.8%,Ain Shams University,Egypt,2,-,-,-,737,71.9
773Top 3.8%,Kitasato University,Japan,25,-,-,128,1005,71.9
774Top 3.8%,National Research University Higher School of Economics,Russia,11,-,-,-,738,71.9
775Top 3.8%,National University of Colombia,Colombia,1,-,872,-,743,71.9
776Top 3.8%,Kaohsiung Medical University,Taiwan,10,-,-,-,740,71.9
777Top 3.8%,University of Girona,Spain,25,-,-,-,741,71.9
778Top 3.8%,Shandong Normal University,China,118,-,-,-,742,71.9
779Top 3.8%,University of Alaska Fairbanks,USA,178,405,867,-,749,71.9
780Top 3.8%,University of Lübeck,Germany,45,-,-,-,744,71.8
781Top 3.9%,Tokyo University of Science,Japan,26,309,747,-,761,71.8
782Top 3.9%,Technical University of Braunschweig,Germany,46,482,1125,-,748,71.8
783Top 3.9%,University of Idaho,USA,179,-,-,-,746,71.8
784Top 3.9%,Marche Polytechnic University,Italy,39,-,-,-,747,71.8
785Top 3.9%,"Putra University, Malaysia",Malaysia,2,-,1618,-,750,71.8
786Top 3.9%,Amirkabir University of Technology,Iran,7,-,-,-,751,71.8
787Top 3.9%,"University of the Andes, Colombia",Colombia,2,-,452,-,770,71.8
788Top 3.9%,Courtauld Institute of Art,United Kingdom,50,15,-,-,-,71.8
789Top 3.9%,Tomsk State University,Russia,12,-,-,-,753,71.8
790Top 3.9%,Kent State University,USA,180,-,-,-,754,71.8
791Top 3.9%,University of Messina,Italy,40,-,-,-,755,71.8
792Top 3.9%,"University of Maryland, Baltimore County",USA,181,-,-,239,849,71.8
793Top 3.9%,Norwegian University of Life Sciences,Norway,5,-,1061,-,759,71.8
794Top 3.9%,"University of Science, Malaysia",Malaysia,3,-,-,-,756,71.7
795Top 3.9%,University of Salento,Italy,41,-,-,-,757,71.7
796Top 3.9%,University of the Balearic Islands,Spain,26,-,-,-,760,71.7
797Top 3.9%,Northern Arizona University,USA,182,-,1082,-,764,71.7
798Top 3.9%,University of Hohenheim,Germany,47,-,-,-,762,71.7
799Top 3.9%,Shandong First Medical University & Shandong Academy of Medical Sciences,China,119,-,-,-,763,71.7
800Top 3.9%,China University of Petroleum-Beijing,China,120,-,737,-,767,71.7
801Top 4%,University of Vigo,Spain,27,-,-,-,765,71.7
802Top 4%,"Graduate School, GRINM",China,121,-,24,-,-,71.7
803Top 4%,University of Rhode Island,USA,183,-,572,-,778,71.7
804Top 4%,Carl von Ossietzky University of Oldenburg,Germany,48,-,-,-,766,71.7
805Top 4%,National Taiwan University of Science and Technology,Taiwan,11,-,660,-,775,71.7
806Top 4%,University of Greifswald,Germany,49,-,-,258,835,71.7
807Top 4%,University of North Carolina at Charlotte,USA,184,-,763,-,773,71.7
808Top 4%,Nanjing Forestry University,China,122,-,-,-,769,71.6
809Top 4%,Anhui Medical University,China,123,-,-,-,771,71.6
810Top 4%,University of Alcalá,Spain,28,-,1642,-,772,71.6
811Top 4%,Guangzhou University,China,124,-,935,-,777,71.6
812Top 4%,Institute for Nuclear Research of the Russian Academy of Sciences,Russia,13,-,-,-,774,71.6
813Top 4%,Hangzhou Normal University,China,125,-,1637,-,776,71.6
814Top 4%,SUNY Downstate Medical Center,USA,185,-,-,148,1031,71.6
815Top 4%,Adam Mickiewicz University in Poznań,Poland,6,-,-,-,779,71.6
816Top 4%,Qingdao University of Science and Technology,China,126,-,1300,-,780,71.6
817Top 4%,Gyeongsang National University,South Korea,25,-,-,-,781,71.6
818Top 4%,University of Montana,USA,186,274,-,-,793,71.6
819Top 4%,National Centre for Nuclear Research,Poland,7,-,-,-,783,71.6
820Top 4%,Gwangju Institute of Science and Technology,South Korea,26,-,-,-,784,71.6
821Top 4%,"Open University, UK",United Kingdom,51,-,1710,-,785,71.6
822Top 4.1%,Northumbria University,United Kingdom,52,-,793,-,794,71.5
823Top 4.1%,Indian Institute of Technology Kanpur,India,10,-,345,-,832,71.5
824Top 4.1%,University of Patras,Greece,6,-,-,-,786,71.5
825Top 4.1%,Dongguk University,South Korea,27,-,499,-,810,71.5
826Top 4.1%,Liverpool John Moores University,United Kingdom,53,-,-,-,787,71.5
827Top 4.1%,China Pharmaceutical University,China,127,-,1074,-,791,71.5
828Top 4.1%,University of Shanghai for Science and Technology,China,128,-,-,-,788,71.5
829Top 4.1%,"University of Nevada, Las Vegas",USA,187,-,831,-,796,71.5
830Top 4.1%,University of Luxembourg,Luxembourg,1,-,-,-,790,71.5
831Top 4.1%,Ohio University,USA,188,402,395,-,830,71.5
832Top 4.1%,Centrale Lille Institut,France,36,-,100,-,1021,71.5
833Top 4.1%,National University of Malaysia (UKM),Malaysia,4,-,-,-,795,71.5
834Top 4.1%,University of Wuppertal,Germany,50,-,-,-,797,71.5
835Top 4.1%,Toronto Metropolitan University,Canada,25,-,1681,-,798,71.5
836Top 4.1%,University of Concepción,Chile,3,-,-,-,799,71.5
837Top 4.1%,University of Split,Croatia,2,-,-,-,800,71.4
838Top 4.1%,Cranfield University,United Kingdom,54,-,206,-,884,71.4
839Top 4.1%,Fujian Agriculture and Forestry University,China,129,-,-,-,801,71.4
840Top 4.1%,"University of Technology, Malaysia",Malaysia,5,-,-,-,803,71.4
841Top 4.1%,"University of California, Merced",USA,189,-,-,-,804,71.4
842Top 4.2%,Hasselt University,Belgium,8,-,797,-,812,71.4
843Top 4.2%,Taiyuan University of Technology,China,130,-,1392,-,805,71.4
844Top 4.2%,London Business School,United Kingdom,55,-,44,-,1698,71.4
845Top 4.2%,Graduate University for Advanced Studies,Japan,27,-,-,-,806,71.4
846Top 4.2%,Carlos III University of Madrid,Spain,29,-,-,-,807,71.4
847Top 4.2%,National Sun Yat-sen University,Taiwan,12,-,1179,-,809,71.4
848Top 4.2%,Murdoch University,Australia,25,-,934,-,813,71.4
849Top 4.2%,University of L'Aquila,Italy,42,-,-,-,808,71.4
850Top 4.2%,Yerevan Physics Institute,Armenia,1,-,-,-,811,71.4
851Top 4.2%,Kunming University of Science and Technology,China,131,-,-,-,814,71.4
852Top 4.2%,Miami University,USA,190,-,110,-,1022,71.3
853Top 4.2%,Shandong Agricultural University,China,132,-,-,-,815,71.3
854Top 4.2%,University of Alicante,Spain,30,-,-,-,816,71.3
855Top 4.2%,Graz University of Technology,Austria,9,-,-,-,817,71.3
856Top 4.2%,Henan Normal University,China,133,-,-,-,818,71.3
857Top 4.2%,University of Brasília,Brazil,12,-,1081,-,822,71.3
858Top 4.2%,Juntendo University,Japan,28,-,-,-,819,71.3
859Top 4.2%,USI - University of Italian Speaking Switzerland,Switzerland,11,-,-,-,820,71.3
860Top 4.2%,Indian Institute of Technology Roorkee,India,11,-,303,-,865,71.3
861Top 4.2%,"City, University of London",United Kingdom,56,533,588,-,838,71.3
862Top 4.2%,Addis Ababa University,Ethiopia,1,493,-,189,988,71.3
863Top 4.3%,University of Basilicata,Italy,43,-,-,-,823,71.3
864Top 4.3%,Peter the Great St. Petersburg Polytechnic University,Russia,14,512,917,-,827,71.3
865Top 4.3%,University of Siegen,Germany,51,-,1615,-,824,71.3
866Top 4.3%,Academy of Scientific & Innovative Research,India,12,-,-,-,825,71.2
867Top 4.3%,Zhejiang Normal University,China,134,-,-,-,826,71.2
868Top 4.3%,University of Brighton,United Kingdom,57,-,-,-,828,71.2
869Top 4.3%,University of Toledo,USA,191,-,-,-,829,71.2
870Top 4.3%,University of Wrocław,Poland,8,483,1475,263,888,71.2
871Top 4.3%,Qatar University,Qatar,1,-,930,-,834,71.2
872Top 4.3%,Polytechnic University of Bari,Italy,44,-,-,-,831,71.2
873Top 4.3%,Getúlio Vargas Foundation,Brazil,13,-,34,-,-,71.2
874Top 4.3%,Belarusian State University,Belarus,1,-,-,-,833,71.2
875Top 4.3%,Jawaharlal Nehru University,India,13,503,-,98,1274,71.2
876Top 4.3%,Uniformed Services University of the Health Sciences,USA,192,-,-,-,836,71.2
877Top 4.3%,Yanshan University,China,135,-,1211,-,839,71.2
878Top 4.3%,Federal University of Pernambuco,Brazil,14,-,1265,-,840,71.2
879Top 4.3%,Old Dominion University,USA,193,-,-,-,841,71.2
880Top 4.3%,Hunan Normal University,China,136,-,-,-,842,71.2
881Top 4.3%,Northern Illinois University,USA,194,-,836,-,845,71.2
882Top 4.3%,Nagasaki University,Japan,29,305,523,-,863,71.1
883Top 4.4%,Kindai University,Japan,30,-,-,-,843,71.1
884Top 4.4%,University of Insubria,Italy,45,-,-,-,844,71.1
885Top 4.4%,University of Orléans,France,37,-,1622,-,846,71.1
886Top 4.4%,University of Portsmouth,United Kingdom,58,-,1185,-,848,71.1
887Top 4.4%,North-West University,South Africa,7,-,1685,-,847,71.1
888Top 4.4%,Tokushima University,Japan,31,77,740,-,1013,71.1
889Top 4.4%,University of Denver,USA,195,-,196,-,946,71.1
890Top 4.4%,University of Tours,France,38,167,-,-,876,71.1
891Top 4.4%,Mansoura University,Egypt,3,-,-,-,851,71.1
892Top 4.4%,Khalifa University,United Arab Emirates,1,-,-,-,852,71.1
893Top 4.4%,Banaras Hindu University,India,14,320,700,-,869,71.1
894Top 4.4%,Federico Santa María Technical University,Chile,4,-,1038,-,855,71.1
895Top 4.4%,Gachon University,South Korea,28,-,-,-,854,71.1
896Top 4.4%,Medical University of Warsaw,Poland,9,-,-,-,856,71.1
897Top 4.4%,Sichuan Agricultural University,China,137,-,-,-,857,71.0
898Top 4.4%,Sorbonne Paris Nord University,France,39,-,-,-,858,71.0
899Top 4.4%,Wroclaw Medical University,Poland,10,-,-,-,859,71.0
900Top 4.4%,"All India Institute of Medical Sciences, New Delhi",India,15,-,-,-,860,71.0
901Top 4.4%,Yunnan University,China,138,-,1654,-,861,71.0
902Top 4.4%,Shahid Beheshti University of Medical Sciences,Iran,8,-,-,-,862,71.0
903Top 4.4%,Hangzhou Dianzi University,China,139,-,1279,-,864,71.0
904Top 4.5%,University of Stirling,United Kingdom,59,-,624,-,878,71.0
905Top 4.5%,Fujian Medical University,China,140,-,-,-,866,71.0
906Top 4.5%,Aberystwyth University,United Kingdom,60,-,918,218,1016,71.0
907Top 4.5%,Benemérita Autonomous University of Puebla,Mexico,4,-,-,-,867,71.0
908Top 4.5%,Jaume I University,Spain,31,-,-,-,868,71.0
909Top 4.5%,Chungbuk National University,South Korea,29,-,1589,-,870,71.0
910Top 4.5%,Xiangtan University,China,141,-,1008,-,875,71.0
911Top 4.5%,New Mexico State University,USA,196,462,692,-,885,71.0
912Top 4.5%,University of Valladolid,Spain,32,-,1158,-,873,70.9
913Top 4.5%,Chiang Mai University,Thailand,3,-,1674,-,871,70.9
914Top 4.5%,Claremont McKenna College,USA,197,-,36,-,-,70.9
915Top 4.5%,Gabriele d’Annunzio University,Italy,46,-,-,-,872,70.9
916Top 4.5%,Nantong University,China,142,-,-,-,874,70.9
917Top 4.5%,Inje University,South Korea,30,-,-,-,877,70.9
918Top 4.5%,New Jersey Institute of Technology,USA,198,527,641,-,894,70.9
919Top 4.5%,"University of Science and Technology, Korea",South Korea,31,-,-,-,879,70.9
920Top 4.5%,University of Limerick,Ireland,5,-,598,-,899,70.9
921Top 4.5%,Shizuoka University,Japan,32,-,973,107,1357,70.9
922Top 4.5%,Brazilian Center for Research in Physics (CBPF),Brazil,15,-,-,-,880,70.9
923Top 4.5%,Babeș-Bolyai University,Romania,1,-,-,-,881,70.9
924Top 4.6%,Jawaharlal Nehru Centre for Advanced Scientific Research,India,16,-,-,117,1321,70.9
925Top 4.6%,Keele University,United Kingdom,61,-,1427,-,883,70.9
926Top 4.6%,Iran University of Science and Technology,Iran,9,-,-,-,882,70.9
927Top 4.6%,Missouri University of Science and Technology,USA,199,-,406,-,926,70.9
928Top 4.6%,Wesleyan University,USA,200,-,57,-,1630,70.8
929Top 4.6%,King Juan Carlos University,Spain,33,-,-,-,886,70.8
930Top 4.6%,Jean Monnet University,France,40,-,-,-,887,70.8
931Top 4.6%,Ivane Javakhishvili Tbilisi State University,Georgia,1,-,-,-,889,70.8
932Top 4.6%,Qufu Normal University,China,143,-,-,-,890,70.8
933Top 4.6%,Michigan Technological University,USA,201,363,859,-,901,70.8
934Top 4.6%,Homi Bhabha National Institute,India,17,-,-,-,891,70.8
935Top 4.6%,Ege University,Turkey,7,-,-,-,892,70.8
936Top 4.6%,Federal University of Viçosa,Brazil,16,-,-,-,893,70.8
937Top 4.6%,"University of the Republic, Uruguay",Uruguay,1,-,1707,-,895,70.8
938Top 4.6%,Indian Institute of Technology Guwahati,India,18,-,-,-,896,70.8
939Top 4.6%,University of Seoul,South Korea,32,-,-,-,897,70.8
940Top 4.6%,Meijo University,Japan,33,-,-,38,-,70.8
941Top 4.6%,Polytechnic University of Bucharest,Romania,2,-,-,-,898,70.8
942Top 4.6%,Shiraz University,Iran,10,-,-,-,900,70.8
943Top 4.6%,Norwegian School of Economics,Norway,6,475,42,-,-,70.8
944Top 4.6%,Aston University,United Kingdom,62,-,570,-,928,70.7
945Top 4.7%,Portland State University,USA,202,-,421,-,943,70.7
946Top 4.7%,Nihon University,Japan,34,538,1292,-,903,70.7
947Top 4.7%,Budapest University of Technology and Economics,Hungary,5,215,1302,-,936,70.7
948Top 4.7%,Federal University of Ceará,Brazil,17,-,1514,-,904,70.7
949Top 4.7%,Federal University of São Carlos,Brazil,18,-,-,-,906,70.7
950Top 4.7%,Makerere University,Uganda,1,-,1518,-,907,70.7
951Top 4.7%,Macau University of Science and Technology,China,144,-,580,-,933,70.7
952Top 4.7%,Sofia University,Bulgaria,1,164,-,-,947,70.7
953Top 4.7%,Mohammed V University,Morocco,1,-,1698,-,908,70.7
954Top 4.7%,ITMO University,Russia,15,-,-,-,909,70.7
955Top 4.7%,Singapore University of Technology and Design,Singapore,3,-,-,-,910,70.7
956Top 4.7%,Edith Cowan University,Australia,26,-,1225,-,912,70.7
957Top 4.7%,University of Mons,Belgium,9,-,-,-,911,70.7
958Top 4.7%,North Dakota State University,USA,203,291,938,-,935,70.7
959Top 4.7%,Capital Normal University,China,145,-,969,-,918,70.7
960Top 4.7%,University of Sassari,Italy,47,-,-,-,913,70.6
961Top 4.7%,Federal University of Pelotas,Brazil,19,-,-,-,914,70.6
962Top 4.7%,Paul Valéry University,France,41,-,-,-,915,70.6
963Top 4.7%,East Carolina University,USA,204,-,869,-,929,70.6
964Top 4.7%,Çukurova University,Turkey,8,-,1556,-,916,70.6
965Top 4.8%,Bucknell University,USA,205,218,52,-,1961,70.6
966Top 4.8%,University of Tabriz,Iran,11,-,-,-,917,70.6
967Top 4.8%,Fluminense Federal University,Brazil,20,-,980,-,927,70.6
968Top 4.8%,Alexandria University,Egypt,4,415,1712,-,924,70.6
969Top 4.8%,Institut national de la recherche scientifique,Canada,26,-,-,-,920,70.6
970Top 4.8%,Marmara University,Turkey,9,-,-,-,921,70.6
971Top 4.8%,Ferdowsi University of Mashhad,Iran,12,-,-,-,922,70.6
972Top 4.8%,Australian Catholic University,Australia,27,-,1663,-,923,70.6
973Top 4.8%,Gazi University,Turkey,10,-,1316,-,925,70.6
974Top 4.8%,Ulster University,United Kingdom,63,-,1338,-,930,70.6
975Top 4.8%,Oberlin College,USA,206,26,-,-,-,70.6
976Top 4.8%,Tunis El Manar University,Tunisia,1,-,-,-,931,70.6
977Top 4.8%,Hallym University,South Korea,33,-,-,-,932,70.5
978Top 4.8%,Technical University of Kaiserslautern,Germany,52,435,1271,-,934,70.5
979Top 4.8%,Southern Illinois University Carbondale,USA,207,-,1565,-,937,70.5
980Top 4.8%,Federal University of Rio Grande do Norte,Brazil,21,-,-,-,938,70.5
981Top 4.8%,Fujian Normal University,China,146,-,-,-,939,70.5
982Top 4.8%,Johannes Kepler University Linz,Austria,10,-,871,-,942,70.5
983Top 4.8%,Shanghai Normal University,China,147,-,1384,-,940,70.5
984Top 4.8%,Zhejiang Sci-Tech University,China,148,-,1367,-,941,70.5
985Top 4.8%,University of Akron,USA,208,-,794,-,944,70.5
986Top 4.9%,Federal University of ABC,Brazil,22,-,-,-,945,70.5
987Top 4.9%,University of Memphis,USA,209,-,416,-,970,70.5
988Top 4.9%,INSA Toulouse,France,42,-,619,-,956,70.5
989Top 4.9%,National University of Córdoba,Argentina,3,-,-,-,948,70.5
990Top 4.9%,University of Windsor,Canada,27,-,203,-,1052,70.5
991Top 4.9%,Cheung Kong Graduate School of Business,China,149,-,30,-,-,70.5
992Top 4.9%,University of Naples Parthenope,Italy,48,-,-,-,950,70.5
993Top 4.9%,Shanghai University of Finance and Economics,China,150,-,99,-,1296,70.4
994Top 4.9%,University of Western Brittany,France,43,-,-,-,951,70.4
995Top 4.9%,University of Extremadura,Spain,34,-,-,-,952,70.4
996Top 4.9%,Hebei University of Technology,China,151,-,1394,-,953,70.4
997Top 4.9%,Villanova University,USA,210,181,149,-,1196,70.4
998Top 4.9%,University of Regina,Canada,28,-,1579,-,954,70.4
999Top 4.9%,Colgate University,USA,211,-,50,-,-,70.4
1000Top 4.9%,Shantou University,China,152,-,-,-,955,70.4
1001Top 4.9%,Tokai University,Japan,35,-,-,-,957,70.4
1002Top 4.9%,Babson College,USA,212,-,38,-,-,70.4
1003Top 4.9%,Victoria University,Australia,28,-,-,-,958,70.4
1004Top 4.9%,University of Hyogo,Japan,36,-,-,107,1527,70.4
1005Top 4.9%,Wrocław University of Science and Technology,Poland,11,-,947,-,961,70.4
1006Top 4.9%,University of Texas at El Paso,USA,213,-,972,-,964,70.4
1007Top 5%,Guizhou University,China,153,-,1108,-,962,70.4
1008Top 5%,Medical University of Lodz,Poland,12,-,-,-,960,70.4
1009Top 5%,American University,USA,214,-,386,-,1003,70.4
1010Top 5%,Hubei University,China,154,-,1449,-,963,70.3
1011Top 5%,Royal College of Surgeons in Ireland,Ireland,6,-,-,-,965,70.3
1012Top 5%,Federal University of Juiz de Fora,Brazil,23,-,1601,-,966,70.3
1013Top 5%,Federal University of Bahia,Brazil,24,-,1246,-,967,70.3
1014Top 5%,University of A Coruña,Spain,35,-,1266,-,968,70.3
1015Top 5%,University of Antioquia,Colombia,3,-,1333,-,969,70.3
1016Top 5%,University of Picardie Jules Verne,France,44,-,1490,-,971,70.3
1017Top 5%,University of Louisiana at Lafayette,USA,215,-,-,-,972,70.3
1018Top 5%,Miguel Hernández University of Elche,Spain,36,-,-,-,973,70.3
1019Top 5%,Nanjing University of Chinese Medicine,China,155,-,-,-,974,70.3
1020Top 5%,Nicolaus Copernicus University,Poland,13,-,-,-,975,70.3
1021Top 5%,Chang'an University,China,156,-,1294,-,976,70.3
1022Top 5%,L.D. Landau Institute for Theoretical Physics of the Russian Academy of Sciences,Russia,16,42,-,224,-,70.3
1023Top 5%,Auckland University of Technology,New Zealand,6,-,-,-,977,70.3
1024Top 5%,Ritsumeikan University,Japan,37,-,661,-,984,70.3
1025Top 5%,Hainan University,China,157,-,-,-,978,70.3
1026Top 5%,Tianjin University of Technology,China,158,-,1642,-,979,70.3
1027Top 5.1%,Bilkent University,Turkey,11,-,940,-,981,70.2
1028Top 5.1%,Pomona College,USA,216,28,985,276,-,70.2
1029Top 5.1%,Gifu University,Japan,38,-,681,-,986,70.2
1030Top 5.1%,Qilu University of Technology,China,159,-,1634,-,980,70.2
1031Top 5.1%,University of Mannheim,Germany,53,-,735,-,985,70.2
1032Top 5.1%,Lappeenranta University of Technology,Finland,8,-,663,-,993,70.2
1033Top 5.1%,Tiangong University,China,160,-,-,-,982,70.2
1034Top 5.1%,Cadi Ayyad University,Morocco,2,-,-,-,983,70.2
1035Top 5.1%,Pepperdine University,USA,217,95,84,172,-,70.2
1036Top 5.1%,Sanford Burnham Prebys Medical Discovery Institute,USA,218,-,-,-,987,70.2
1037Top 5.1%,National Taiwan Normal University,Taiwan,13,-,1284,-,991,70.2
1038Top 5.1%,Aga Khan University,Pakistan,3,-,-,-,989,70.2
1039Top 5.1%,Tokyo University of Agriculture and Technology,Japan,39,-,-,-,990,70.2
1040Top 5.1%,"University of New England, Australia",Australia,29,-,752,-,1004,70.2
1041Top 5.1%,University of Franche-Comté,France,45,485,-,-,994,70.2
1042Top 5.1%,Autonomous University of San Luis Potosí,Mexico,5,-,-,-,992,70.2
1043Top 5.1%,Federal University of Santa Maria,Brazil,25,-,1080,-,998,70.2
1044Top 5.1%,University of Cádiz,Spain,37,-,-,-,995,70.2
1045Top 5.1%,Paracelsus Medical University,Austria,11,-,-,-,996,70.1
1046Top 5.1%,Hunter College,USA,219,149,1359,-,1065,70.1
1047Top 5.1%,Florida Atlantic University,USA,220,-,-,-,997,70.1
1048Top 5.2%,Ehime University,Japan,40,-,1194,-,999,70.1
1049Top 5.2%,Manchester Metropolitan University,United Kingdom,64,-,849,-,1007,70.1
1050Top 5.2%,University of South Bohemia,Czech Republic,5,-,-,-,1000,70.1
1051Top 5.2%,Kazan Federal University,Russia,17,-,1691,-,1001,70.1
1052Top 5.2%,Yıldız Technical University,Turkey,12,-,984,-,1006,70.1
1053Top 5.2%,Copenhagen Business School,Denmark,6,-,199,-,1142,70.1
1054Top 5.2%,Yamagata University,Japan,41,-,-,-,1002,70.1
1055Top 5.2%,Okinawa Institute of Science and Technology,Japan,42,-,-,235,1176,70.1
1056Top 5.2%,Institute of Science and Technology Austria,Austria,12,-,-,202,1264,70.1
1057Top 5.2%,V.A. Engelhardt Institute of Molecular Biology of the Russian Academy of Sciences,Russia,18,46,-,219,-,70.1
1058Top 5.2%,Northeast Forestry University,China,161,-,-,-,1008,70.1
1059Top 5.2%,Federal University of Goiás,Brazil,26,-,-,-,1009,70.1
1060Top 5.2%,Northeast Agricultural University,China,162,-,1178,-,1011,70.1
1061Top 5.2%,University of Lleida,Spain,38,-,-,-,1010,70.1
1062Top 5.2%,University of Upper Alsace,France,46,-,-,-,1012,70.0
1063Top 5.2%,Rochester Institute of Technology,USA,221,-,1092,-,1014,70.0
1064Top 5.2%,Dalian Maritime University,China,163,-,1072,-,1017,70.0
1065Top 5.2%,VetAgro Sup,France,47,-,-,-,1015,70.0
1066Top 5.2%,Worcester Polytechnic Institute,USA,222,-,154,-,1238,70.0
1067Top 5.2%,Ramon Llull University,Spain,39,-,259,-,1113,70.0
1068Top 5.3%,University of Thessaly,Greece,7,-,-,-,1018,70.0
1069Top 5.3%,Tokyo Women's Medical University,Japan,43,-,-,-,1020,70.0
1070Top 5.3%,National Taipei University of Technology,Taiwan,14,-,697,-,1035,70.0
1071Top 5.3%,University of Toyama,Japan,44,-,691,-,1037,70.0
1072Top 5.3%,Hunan Agricultural University,China,164,-,-,-,1023,70.0
1073Top 5.3%,Luleå University of Technology,Sweden,13,-,-,-,1024,70.0
1074Top 5.3%,University of Southern Queensland,Australia,30,-,1145,-,1026,70.0
1075Top 5.3%,SUNY Upstate Medical University,USA,223,-,-,-,1025,70.0
1076Top 5.3%,Florida Institute of Technology,USA,224,-,800,-,1034,70.0
1077Top 5.3%,"Asia University, Taiwan",Taiwan,15,-,-,-,1027,70.0
1078Top 5.3%,Medical University of Gdańsk,Poland,14,-,-,-,1028,70.0
1079Top 5.3%,Sogang University,South Korea,34,-,539,-,1066,70.0
1080Top 5.3%,University of Reims Champagne-Ardenne,France,48,-,939,-,1036,69.9
1081Top 5.3%,Jiangsu Normal University,China,165,-,1466,-,1029,69.9
1082Top 5.3%,Postgraduate Institute of Medical Education and Research,India,19,-,-,-,1030,69.9
1083Top 5.3%,University of Canberra,Australia,31,-,1605,-,1032,69.9
1084Top 5.3%,Koç University,Turkey,13,-,-,-,1033,69.9
1085Top 5.3%,University of Bucharest,Romania,3,367,-,-,1042,69.9
1086Top 5.3%,Creighton University,USA,225,-,-,-,1038,69.9
1087Top 5.3%,University of Maribor,Slovenia,2,-,-,-,1039,69.9
1088Top 5.3%,Paderborn University,Germany,54,-,1454,-,1040,69.9
1089Top 5.4%,"Indian Institute of Science Education and Research, Pune",India,20,-,-,-,1041,69.9
1090Top 5.4%,Nottingham Trent University,United Kingdom,65,-,680,-,1064,69.9
1091Top 5.4%,Wuhan University of Science and Technology,China,166,-,877,-,1053,69.9
1092Top 5.4%,University of New Brunswick,Canada,29,-,784,-,1056,69.9
1093Top 5.4%,Hebei University,China,167,-,950,-,1048,69.9
1094Top 5.4%,Duy Tân University,Vietnam,1,-,-,-,1043,69.9
1095Top 5.4%,Henan University of Science and Technology,China,168,-,1507,-,1044,69.9
1096Top 5.4%,Kagoshima University,Japan,45,-,855,-,1057,69.9
1097Top 5.4%,Charles Darwin University,Australia,32,-,-,-,1045,69.9
1098Top 5.4%,Dublin City University,Ireland,7,-,769,-,1061,69.8
1099Top 5.4%,Brandenburg University of Technology,Germany,55,-,1251,-,1047,69.8
1100Top 5.4%,Tomsk Polytechnic University,Russia,19,-,-,-,1046,69.8
1101Top 5.4%,University of Urbino,Italy,49,-,1268,-,1049,69.8
1102Top 5.4%,Shahid Beheshti University,Iran,13,-,-,-,1050,69.8
1103Top 5.4%,Jichi Medical University,Japan,46,-,-,-,1051,69.8
1104Top 5.4%,Hassan II University of Casablanca,Morocco,3,-,-,-,1054,69.8
1105Top 5.4%,Fordham University,USA,226,-,232,-,1173,69.8
1106Top 5.4%,Jadavpur University,India,21,-,1101,-,1059,69.8
1107Top 5.4%,University of North Carolina at Greensboro,USA,227,-,-,-,1055,69.8
1108Top 5.4%,University of Kassel,Germany,56,-,-,-,1058,69.8
1109Top 5.5%,Dankook University,South Korea,35,-,1286,-,1060,69.8
1110Top 5.5%,Gaziantep University,Turkey,14,-,-,-,1062,69.8
1111Top 5.5%,University of Jaén,Spain,40,-,-,-,1063,69.8
1112Top 5.5%,Chuo University,Japan,47,-,77,-,1759,69.8
1113Top 5.5%,University of Salzburg,Austria,13,-,694,-,1081,69.8
1114Top 5.5%,University of Novi Sad,Serbia,2,-,-,-,1067,69.8
1115Top 5.5%,Huaqiao University,China,169,-,-,-,1068,69.8
1116Top 5.5%,Wenzhou University,China,170,-,-,-,1069,69.7
1117Top 5.5%,Changzhou University,China,171,-,1440,-,1072,69.7
1118Top 5.5%,Carol Davila University of Medicine and Pharmacy,Romania,4,-,-,-,1070,69.7
1119Top 5.5%,Dalian Medical University,China,172,-,-,-,1071,69.7
1120Top 5.5%,University of Massachusetts Lowell,USA,228,-,843,-,1082,69.7
1121Top 5.5%,Toho University,Japan,48,-,-,-,1073,69.7
1122Top 5.5%,University of Hertfordshire,United Kingdom,66,-,-,-,1074,69.7
1123Top 5.5%,Charles Sturt University,Australia,33,-,1366,-,1075,69.7
1124Top 5.5%,Monterrey Institute of Technology and Higher Education,Mexico,6,-,350,-,1139,69.7
