Ranking,University Name,National/Regional Rank,Total Score,LOGO,University Detail 
44,University of British Columbia,2,33.8,http://www.shanghairanking.com/_uni/logo/38ff70adf.png,http://www.shanghairanking.com/institution/university-of-british-columbia
44,"University of Minnesota, Twin Cities",25-26,33.8,http://www.shanghairanking.com/_uni/logo/7f9e67da9.png,http://www.shanghairanking.com/institution/university-of-minnesota-twin-cities
47,The University of Queensland,2,33.6,http://www.shanghairanking.com/_uni/logo/9d6b97a7c.png,http://www.shanghairanking.com/institution/the-university-of-queensland
48,King's College London,7,33.4,http://www.shanghairanking.com/_uni/logo/7c3673100.png,http://www.shanghairanking.com/institution/kings-college-london
49,University of Illinois at Urbana-Champaign,27,33.3,http://www.shanghairanking.com/_uni/logo/49df86f43.png,http://www.shanghairanking.com/institution/university-of-illinois-at-urbana-champaign
50,"University of Maryland, College Park",28,33.1,http://www.shanghairanking.com/_uni/logo/0eeb3a1e0.png,http://www.shanghairanking.com/institution/university-of-maryland-college-park
51,University of Colorado at Boulder,29,33.0,http://www.shanghairanking.com/_uni/logo/41aff2fed.png,http://www.shanghairanking.com/institution/university-of-colorado-at-boulder
52,The University of Texas Southwestern Medical Center at Dallas,30,32.9,http://www.shanghairanking.com/_uni/logo/8ab040a7d.png,http://www.shanghairanking.com/institution/the-university-of-texas-southwestern-medical-center-at-dallas
53,University of Southern California,31,32.6,http://www.shanghairanking.com/_uni/logo/f94b07167.png,http://www.shanghairanking.com/institution/university-of-southern-california
54,Shanghai Jiao Tong University,4,32.0,http://www.shanghairanking.com/_uni/logo/27403919.png,http://www.shanghairanking.com/institution/shanghai-jiao-tong-university
54,Utrecht University,1,32.0,http://www.shanghairanking.com/_uni/logo/5063041ca.png,http://www.shanghairanking.com/institution/utrecht-university
56,Technical University of Munich,1,31.7,http://www.shanghairanking.com/_uni/logo/3d748c924.png,http://www.shanghairanking.com/institution/technical-university-of-munich
57,"University of California, Santa Barbara",32,31.5,http://www.shanghairanking.com/_uni/logo-jpg/63f81166100.jpg,http://www.shanghairanking.com/institution/university-of-california-santa-barbara
57,University of Munich,2,31.5,http://www.shanghairanking.com/_uni/logo/6d76dd8bd.png,http://www.shanghairanking.com/institution/university-of-munich
59,University of Zurich,2,31.4,http://www.shanghairanking.com/_uni/logo/897c2afe4.png,http://www.shanghairanking.com/institution/university-of-zurich
60,University of Sydney,3,30.8,http://www.shanghairanking.com/_uni/logo/6f7db18c8.png,http://www.shanghairanking.com/institution/university-of-sydney
61,"University of California, Irvine",33,30.7,http://www.shanghairanking.com/_uni/logo/b1df85949.png,http://www.shanghairanking.com/institution/university-of-california-irvine
62,University of Geneva,3,30.3,http://www.shanghairanking.com/_uni/logo/7cd1dc0d1.png,http://www.shanghairanking.com/institution/university-of-geneva
62,University of Science and Technology of China,5,30.3,http://www.shanghairanking.com/_uni/logo/50132214.png,http://www.shanghairanking.com/institution/university-of-science-and-technology-of-china
64,The University of New South Wales,4,30.2,http://www.shanghairanking.com/_uni/logo/269ebda14.png,http://www.shanghairanking.com/institution/the-university-of-new-south-wales
64,Vanderbilt University,34,30.2,http://www.shanghairanking.com/_uni/logo/bb01ff238.png,http://www.shanghairanking.com/institution/vanderbilt-university
66,University of Groningen,2,30.1,http://www.shanghairanking.com/_uni/logo/cb5787d1f.png,http://www.shanghairanking.com/institution/university-of-groningen
67,Fudan University,6,30.0,http://www.shanghairanking.com/_uni/logo/28312850.png,http://www.shanghairanking.com/institution/fudan-university
67,University of Oslo,1,30.0,http://www.shanghairanking.com/_uni/logo/2d1aa99b3.png,http://www.shanghairanking.com/institution/university-of-oslo
69,Aarhus University,2,29.7,http://www.shanghairanking.com/_uni/logo/0ec23abb4.png,http://www.shanghairanking.com/institution/aarhus-university
70,Heidelberg University,3,29.5,http://www.shanghairanking.com/_uni/logo/c1b74c074.png,http://www.shanghairanking.com/institution/heidelberg-university
71,National University of Singapore,1,29.3,http://www.shanghairanking.com/_uni/logo/31943e0cb.png,http://www.shanghairanking.com/institution/national-university-of-singapore
71,The University of Texas M. D. Anderson Cancer Center,35,29.3,http://www.shanghairanking.com/_uni/logo/1100fcdc8.png,http://www.shanghairanking.com/institution/the-university-of-texas-m-d-anderson-cancer-center
73,McGill University,3,29.1,http://www.shanghairanking.com/_uni/logo/88d833c3e.png,http://www.shanghairanking.com/institution/mcgill-university
74,Ghent University,1,28.9,http://www.shanghairanking.com/_uni/logo/a05682830.png,http://www.shanghairanking.com/institution/ghent-university
75,Monash University,5,28.4,http://www.shanghairanking.com/_uni/logo/6d8339a6f.png,http://www.shanghairanking.com/institution/monash-university
76,University of Bonn,4,28.1,http://www.shanghairanking.com/_uni/logo/68c81f6c8.png,http://www.shanghairanking.com/institution/university-of-bonn
77,The Hebrew University of Jerusalem,1,27.9,http://www.shanghairanking.com/_uni/logo/ee11c32f8.png,http://www.shanghairanking.com/institution/the-hebrew-university-of-jerusalem
78,Université Paris Cité,4,27.7,http://www.shanghairanking.com/_uni/logo-jpg/a37a44c0a00.jpg,http://www.shanghairanking.com/institution/university-of-paris
79,Sun Yat-sen University,7,27.5,http://www.shanghairanking.com/_uni/logo/46293852.png,http://www.shanghairanking.com/institution/sun-yat-sen-university
79,The Australian National University,6,27.5,http://www.shanghairanking.com/_uni/logo/e6233a5b3.png,http://www.shanghairanking.com/institution/the-australian-national-university
81,University of Bristol,8,27.4,http://www.shanghairanking.com/_uni/logo/73d83b1e4.png,http://www.shanghairanking.com/institution/university-of-bristol
82,University of Pittsburgh,36,27.3,http://www.shanghairanking.com/_uni/logo/bfcc56ad8.png,http://www.shanghairanking.com/institution/university-of-pittsburgh
83,Purdue University - West Lafayette,37,27.2,http://www.shanghairanking.com/_uni/logo/2ef5fbfcc.png,http://www.shanghairanking.com/institution/purdue-university-west-lafayette
83,Technion-Israel Institute of Technology,2-3,27.2,http://www.shanghairanking.com/_uni/logo/547232002.png,http://www.shanghairanking.com/institution/technion-israel-institute-of-technology
83,University of Basel,4,27.2,http://www.shanghairanking.com/_uni/logo/4b95c2a51.png,http://www.shanghairanking.com/institution/university-of-basel
83,Weizmann Institute of Science,2-3,27.2,http://www.shanghairanking.com/_uni/logo/f5dfa93ce.png,http://www.shanghairanking.com/institution/weizmann-institute-of-science
87,Erasmus University Rotterdam,3,27.0,http://www.shanghairanking.com/_uni/logo/7dc2ef049.png,http://www.shanghairanking.com/institution/erasmus-university-rotterdam
88,Nanyang Technological University,2,26.9,http://www.shanghairanking.com/_uni/logo/f3d48b4a3.png,http://www.shanghairanking.com/institution/nanyang-technological-university
89,Uppsala University,2,26.8,http://www.shanghairanking.com/_uni/logo/8e0a7d1d4.png,http://www.shanghairanking.com/institution/uppsala-university
90,McMaster University,4,26.7,http://www.shanghairanking.com/_uni/logo/0f693978a.png,http://www.shanghairanking.com/institution/mcmaster-university
90,Stockholm University,3,26.7,http://www.shanghairanking.com/_uni/logo/bd0e71ccb.png,http://www.shanghairanking.com/institution/stockholm-university
92,University of Alberta,5,26.5,http://www.shanghairanking.com/_uni/logo/f1242c7ae.png,http://www.shanghairanking.com/institution/university-of-alberta
92,University of Helsinki,1,26.5,http://www.shanghairanking.com/_uni/logo/174aa57e2.png,http://www.shanghairanking.com/institution/university-of-helsinki
94,University of Florida,38,26.4,http://www.shanghairanking.com/_uni/logo/a1fc569d1.png,http://www.shanghairanking.com/institution/university-of-florida
95,KU Leuven,2,26.3,http://www.shanghairanking.com/_uni/logo/666263d88.png,http://www.shanghairanking.com/institution/ku-leuven
96,Huazhong University of Science and Technology,8,26.1,http://www.shanghairanking.com/_uni/logo/69664504.png,http://www.shanghairanking.com/institution/huazhong-university-of-science-and-technology
96,The University of Hong Kong,1,26.1,http://www.shanghairanking.com/_uni/logo/cbf530ad3.png,http://www.shanghairanking.com/institution/the-university-of-hong-kong
98,Seoul National University,1,25.9,http://www.shanghairanking.com/_uni/logo/4d302fc4e.png,http://www.shanghairanking.com/institution/seoul-national-university
99,Brown University,39,25.8,http://www.shanghairanking.com/_uni/logo/3d8b527ff.png,http://www.shanghairanking.com/institution/brown-university
99,The University of Western Australia,7,25.8,http://www.shanghairanking.com/_uni/logo/535124d88.png,http://www.shanghairanking.com/institution/the-university-of-western-australia
101-150,Aix Marseille University,5-7,11.9,http://www.shanghairanking.com/_uni/logo/db573f4a7.png,http://www.shanghairanking.com/institution/aix-marseille-university
101-150,Arizona State University,40-54,0.0,http://www.shanghairanking.com/_uni/logo/4b703d82d.png,http://www.shanghairanking.com/institution/arizona-state-university
101-150,Boston University,40-54,10.7,http://www.shanghairanking.com/_uni/logo/cbbf3b6e2.png,http://www.shanghairanking.com/institution/boston-university
101-150,Carnegie Mellon University,40-54,29.7,http://www.shanghairanking.com/_uni/logo/e1f857b46.png,http://www.shanghairanking.com/institution/carnegie-mellon-university
101-150,Case Western Reserve University,40-54,30.7,http://www.shanghairanking.com/_uni/logo/885955e6b.png,http://www.shanghairanking.com/institution/case-western-reserve-university
101-150,Central South University,9-13,0.0,http://www.shanghairanking.com/_uni/logo/65984093.png,http://www.shanghairanking.com/institution/central-south-university
